iter, cut, min_cut, runtime
883, 1, 1, 44768
884, 1, 1, 49447
885, 1, 1, 48539
886, 4, 1, 40648
887, 2, 1, 50006
888, 3, 1, 39600
889, 1, 1, 44419
890, 1, 1, 49238
891, 2, 1, 71447
892, 1, 1, 62508
893, 1, 1, 41136
894, 1, 1, 73542
895, 2, 1, 52869
896, 2, 1, 47073
897, 1, 1, 54895
898, 2, 1, 57759
899, 1, 1, 45257
900, 2, 1, 47213
901, 1, 1, 52031
902, 3, 1, 58108
903, 1, 1, 62787
904, 1, 1, 49029
905, 1, 1, 43301
906, 2, 1, 51124
907, 1, 1, 72495
908, 2, 1, 72984
909, 2, 1, 40438
910, 2, 1, 45396
911, 3, 1, 66418
912, 1, 1, 74241
913, 3, 1, 41625
914, 2, 1, 45676
915, 1, 1, 43022
916, 1, 1, 66628
917, 2, 1, 50006
918, 1, 1, 53777
919, 1, 1, 75359
920, 1, 1, 44000
921, 1, 1, 42952
922, 2, 1, 56711
923, 1, 1, 50076
924, 2, 1, 41416
925, 3, 1, 55175
926, 1, 1, 86323
927, 2, 1, 41346
928, 2, 1, 42114
929, 2, 1, 62019
930, 4, 1, 41485
931, 2, 1, 42463
932, 1, 1, 42813
933, 1, 1, 49168
934, 1, 1, 50285
935, 1, 1, 46793
936, 1, 1, 46724
937, 2, 1, 42882
938, 3, 1, 41067
939, 3, 1, 54616
940, 3, 1, 38971
941, 2, 1, 40507
942, 2, 1, 46793
943, 1, 1, 46165
944, 2, 1, 42114
945, 1, 1, 50495
946, 2, 1, 48261
947, 1, 1, 51053
948, 2, 1, 45745
949, 1, 1, 60971
950, 2, 1, 48051
951, 2, 1, 45257
952, 1, 1, 64883
953, 1, 1, 50914
954, 1, 1, 55174
955, 1, 1, 61949
956, 1, 1, 46793
957, 2, 1, 45816
958, 1, 1, 53358
959, 1, 1, 57828
960, 1, 1, 59155
961, 3, 1, 38203
962, 2, 1, 45606
963, 3, 1, 55314
964, 1, 1, 96101
965, 1, 1, 56711
966, 1, 1, 46793
967, 2, 1, 53638
968, 1, 1, 46584
969, 4, 1, 44837
970, 1, 1, 45326
971, 1, 1, 39041
972, 2, 1, 47841
973, 3, 1, 46514
974, 1, 1, 41974
975, 1, 1, 53778
976, 1, 1, 58667
977, 1, 1, 45466
978, 3, 1, 50146
979, 1, 1, 49517
980, 3, 1, 48190
981, 2, 1, 59225
982, 2, 1, 50006
983, 1, 1, 41765
984, 1, 1, 49726
985, 2, 1, 56780
986, 1, 1, 54266
987, 1, 1, 57130
988, 1, 1, 54825
989, 1, 1, 45955
990, 1, 1, 52940
991, 2, 1, 41346
992, 1, 1, 43301
993, 3, 1, 42044
994, 1, 1, 46724
995, 1, 1, 44279
996, 1, 1, 64882
997, 1, 1, 62088
998, 1, 1, 56780
999, 1, 1, 56222
1000, 1, 1, 55314
1001, 1, 1, 50564
1002, 1, 1, 54895
